Feature,Importance
fiModelDesc_WA380-6,8.313400941976005e-06
Blade_Type_Semi U,8.27294329792319e-06
state_Colorado,8.068686486006507e-06
fiBaseModel_KSS85,8.00906312746169e-06
fiModelDesc_D5HII,7.8786858856067e-06
fiModelDesc_D6E,7.841118436531834e-06
fiModelDesc_772CH,7.82689918818288e-06
"fiProductClassDesc_Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",7.818937982714627e-06
fiModelSeries_-5,7.807986207792592e-06
state_Washington,7.750221924734771e-06
fiModelDesc_KSS85Z,7.73155139990262e-06
Maturity Date_2006-07-20,7.72338932334716e-06
Blade_Width_12',7.658727868934435e-06
fiSecondaryDesc_LC,7.60314001750474e-06
Pushblock_None or Unspecified,7.516351968354058e-06
fiModelDesc_EX400LC3,7.502367523852596e-06
fiModelDesc_G930,7.406046578621049e-06
fiModelDesc_320L,7.394121504670943e-06
state_Colorado,7.246272999410219e-06
state_Mississippi,7.243818823433841e-06
fiModelDesc_HL760XTD7,7.2052097397780835e-06
fiBaseModel_G940,7.141687704973524e-06
fiProductClassDesc_Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,7.137951691623252e-06
state_California,7.114354271119872e-06
Transmission_Powershift,7.0964462570874315e-06
ProductGroup_WL,7.070014559055747e-06
Tire_Size_20.5,7.024935031281561e-06
state_Mississippi,7.0062963270239245e-06
fiModelDesc_772CHII,6.963868525948141e-06
state_California,6.91767145366555e-06
fiBaseModel_C86,6.906888561002972e-06
usage_bin_medium,6.8578078118284595e-06
fiModelDescriptor_3,6.822984645581166e-06
saledate_2011-09-26,6.7812682659592065e-06
saledate_1996-10-05,6.775517066429321e-06
Blade_Width_14',6.7644569511729374e-06
fiModelDesc_D6NXL,6.709828070047519e-06
Ride_Control_None or Unspecified,6.6909440311219845e-06
fiModelDesc_C86C,6.640953169037176e-06
fiBaseModel_CX75,6.6304175002741435e-06
usage_bin_low,6.604016619905186e-06
Tip_Control_Tip,6.523315443382577e-06
saledate_2007-04-11,6.515468935637549e-06
saledate_2009-04-01,6.508464475433482e-06
fiModelSeries_-3LK,6.426251248922318e-06
Tire_Size_23.5,6.40561120317865e-06
fiModelDesc_D3G,6.367285204030462e-06
saledate_2011-12-13,6.30643831790027e-06
