per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
31,2,1,0,2,0,20.5
32,2,1,0,2,0,28.9
33,2,1,0,2,0,19
34,2,1,0,2,0,21.8
35,2,1,0,2,0,21.1
36,2,1,0,2,0,19.5
25,2,1,0,3,0,9.9
26,2,1,0,3,0,11.7
27,2,1,0,3,0,19.9
28,2,1,0,3,0,21.4
29,2,1,0,3,0,24.6
30,2,1,0,3,0,24.7
31,2,1,0,3,0,21.4
32,2,1,0,3,0,21.9
33,2,1,0,3,0,20.9
34,2,1,0,3,0,21.1
35,2,1,0,3,0,17.5
36,2,1,0,3,0,11.1
25,2,1,0,4,0,19.8
26,2,1,0,4,0,18.6
27,2,1,0,4,0,28
28,2,1,0,4,0,26.3
29,2,1,0,4,0,28.3
30,2,1,0,4,0,28
31,2,1,0,4,0,25.7
32,2,1,0,4,0,29.3
33,2,1,0,4,0,25.8
34,2,1,0,4,0,27.5
35,2,1,0,4,0,23.3
36,2,1,0,4,0,18.9
25,2,1,0,5,0,22.1
26,2,1,0,5,0,20.2
27,2,1,0,5,0,27.9
28,2,1,0,5,0,25.8
29,2,1,0,5,0,29.1
30,2,1,0,5,0,30.1
31,2,1,0,5,0,25.3
32,2,1,0,5,0,28.5
33,2,1,0,5,0,24.7
34,2,1,0,5,0,27.9
35,2,1,0,5,0,25.6
36,2,1,0,5,0,22.2
25,2,2,0,1,0,41.1
26,2,2,0,1,0,40.2
27,2,2,0,1,0,64.8
28,2,2,0,1,0,65.8
29,2,2,0,1,0,74
30,2,2,0,1,0,72.4
31,2,2,0,1,0,66.3
32,2,2,0,1,0,71.1
33,2,2,0,1,0,62.1
34,2,2,0,1,0,67
35,2,2,0,1,0,56.2
36,2,2,0,1,0,41.8
25,2,3,0,1,0,14.4
26,2,3,0,1,0,14.5
27,2,3,0,1,0,21.6
28,2,3,0,1,0,21.7
29,2,3,0,1,0,24.8
30,2,3,0,1,0,25.9
31,2,3,0,1,0,21.8
32,2,3,0,1,0,31.3
33,2,3,0,1,0,22.6
34,2,3,0,1,0,24.5
35,2,3,0,1,0,25.7
36,2,3,0,1,0,25.1
25,4,1,0,1,1,1183
26,4,1,0,1,1,1226
27,4,1,0,1,1,1312
28,4,1,0,1,1,1166
29,4,1,0,1,1,1228
30,4,1,0,1,1,1382
31,4,1,0,1,1,1335
32,4,1,0,1,1,1312
33,4,1,0,1,1,1429
34,4,1,0,1,1,1415
35,4,1,0,1,1,1385
36,4,1,0,1,1,1365
25,4,1,0,2,1,148
26,4,1,0,2,1,226
27,4,1,0,2,1,227
28,4,1,0,2,1,228
29,4,1,0,2,1,230
30,4,1,0,2,1,263
31,4,1,0,2,1,259
32,4,1,0,2,1,234
33,4,1,0,2,1,305
34,4,1,0,2,1,263
35,4,1,0,2,1,253
36,4,1,0,2,1,256
25,4,1,0,3,1,311
26,4,1,0,3,1,268
27,4,1,0,3,1,314
28,4,1,0,3,1,245
29,4,1,0,3,1,269
30,4,1,0,3,1,283
31,4,1,0,3,1,269
32,4,1,0,3,1,259
33,4,1,0,3,1,286
34,4,1,0,3,1,292
35,4,1,0,3,1,296
36,4,1,0,3,1,278
25,4,1,0,4,1,430
26,4,1,0,4,1,444
27,4,1,0,4,1,428
28,4,1,0,4,1,415
29,4,1,0,4,1,461
30,4,1,0,4,1,494
31,4,1,0,4,1,482
32,4,1,0,4,1,503
33,4,1,0,4,1,510
34,4,1,0,4,1,511
35,4,1,0,4,1,492
36,4,1,0,4,1,503
25,4,1,0,5,1,294
26,4,1,0,5,1,288
27,4,1,0,5,1,343
28,4,1,0,5,1,278
29,4,1,0,5,1,268
30,4,1,0,5,1,342
31,4,1,0,5,1,325
32,4,1,0,5,1,316
33,4,1,0,5,1,328
34,4,1,0,5,1,349
35,4,1,0,5,1,344
36,4,1,0,5,1,328
25,4,2,0,1,1,898
26,4,2,0,1,1,948
27,4,2,0,1,1,957
28,4,2,0,1,1,879
29,4,2,0,1,1,938
30,4,2,0,1,1,1011
31,4,2,0,1,1,1004
32,4,2,0,1,1,973
33,4,2,0,1,1,1052
34,4,2,0,1,1,993
35,4,2,0,1,1,1018
36,4,2,0,1,1,1005
25,5,1,0,1,0,70.4
26,5,1,0,1,0,74.1
27,5,1,0,1,0,104.2
28,5,1,0,1,0,112.8
29,5,1,0,1,0,127.6
30,5,1,0,1,0,134.8
31,5,1,0,1,0,126.6
32,5,1,0,1,0,127.1
33,5,1,0,1,0,125.4
34,5,1,0,1,0,124.8
35,5,1,0,1,0,103
36,5,1,0,1,0,82.2
25,5,1,0,2,0,6.3
26,5,1,0,2,0,10
27,5,1,0,2,0,15.5
28,5,1,0,2,0,23.6
29,5,1,0,2,0,25.9
30,5,1,0,2,0,29.1
31,5,1,0,2,0,25.3
32,5,1,0,2,0,24
33,5,1,0,2,0,29.4
34,5,1,0,2,0,23.2
35,5,1,0,2,0,19.2
36,5,1,0,2,0,15
25,5,1,0,3,0,12.9
26,5,1,0,3,0,10.5
27,5,1,0,3,0,20.4
28,5,1,0,3,0,25.4
29,5,1,0,3,0,31
30,5,1,0,3,0,31.7
31,5,1,0,3,0,27.8
32,5,1,0,3,0,28.7
33,5,1,0,3,0,27.2
34,5,1,0,3,0,27.6
35,5,1,0,3,0,21.1
36,5,1,0,3,0,13.5
25,5,1,0,4,0,28.6
26,5,1,0,4,0,32.1
27,5,1,0,4,0,38.9
28,5,1,0,4,0,38.1
29,5,1,0,4,0,45.1
30,5,1,0,4,0,43.8
31,5,1,0,4,0,44.9
32,5,1,0,4,0,47.2
33,5,1,0,4,0,42.5
34,5,1,0,4,0,43.6
35,5,1,0,4,0,36.9
36,5,1,0,4,0,31.1
25,5,1,0,5,0,22.6
26,5,1,0,5,0,21.6
27,5,1,0,5,0,29.4
28,5,1,0,5,0,25.7
29,5,1,0,5,0,25.5
30,5,1,0,5,0,30.2
31,5,1,0,5,0,28.7
32,5,1,0,5,0,27.3
33,5,1,0,5,0,26.3
34,5,1,0,5,0,30.5
35,5,1,0,5,0,25.8
36,5,1,0,5,0,22.7
25,5,2,0,1,0,50.5
26,5,2,0,1,0,54.8
27,5,2,0,1,0,77.8
28,5,2,0,1,0,85.5
29,5,2,0,1,0,97.5
30,5,2,0,1,0,101.6
31,5,2,0,1,0,97.2
32,5,2,0,1,0,94.4
33,5,2,0,1,0,92.6
34,5,2,0,1,0,92.5
35,5,2,0,1,0,74.4
36,5,2,0,1,0,55.5
37,1,1,0,1,1,1122
38,1,1,0,1,1,1194
39,1,1,0,1,1,1134
40,1,1,0,1,1,1235
41,1,1,0,1,1,1142
42,1,1,0,1,1,1154
43,1,1,0,1,1,1189
44,1,1,0,1,1,1200
45,1,1,0,1,1,1223
46,1,1,0,1,1,1181
47,1,1,0,1,1,1236
48,1,1,0,1,1,1236
37,1,1,0,2,1,269
38,1,1,0,2,1,275
39,1,1,0,2,1,243
40,1,1,0,2,1,290
41,1,1,0,2,1,220
42,1,1,0,2,1,233
43,1,1,0,2,1,226
44,1,1,0,2,1,228
45,1,1,0,2,1,222
46,1,1,0,2,1,241
47,1,1,0,2,1,242
48,1,1,0,2,1,231
37,1,1,0,3,1,199
38,1,1,0,3,1,253
39,1,1,0,3,1,223
40,1,1,0,3,1,236
41,1,1,0,3,1,238
